cell_id,alpha,kappa,p,theta,cov_all,nF,covF_fixed,nEnv,covEnv_fixed
a0.1_k0.5_none_p1_th0.05,0.1,0.5,1,0.05,0.96,0,,0,
a0.1_k0.5_none_p1_th0.18,0.1,0.5,1,0.18,0.96,0,,0,
a0.1_k0.5_none_p1_th0.1,0.1,0.5,1,0.1,0.96,0,,0,
a0.1_k0.5_none_p1_th0.28,0.1,0.5,1,0.28,0.96,0,,0,
a0.1_k0.5_none_p1_th0.4,0.1,0.5,1,0.4,0.96,2,,15,
a0.1_k0.5_none_p1_th0.55,0.1,0.5,1,0.55,0.96,400,0.96,400,0.96
a0.1_k0.5_none_p1_th0.72,0.1,0.5,1,0.72,0.96,400,0.96,400,0.96
a0.1_k0.5_none_p1_th0.88,0.1,0.5,1,0.88,0.96,400,0.96,400,0.96
a0.1_k0.5_none_p5_th0.05,0.1,0.5,5,0.05,0.0,0,,0,
a0.1_k0.5_none_p5_th0.18,0.1,0.5,5,0.18,0.0,400,0.0,400,0.0
a0.1_k0.5_none_p5_th0.1,0.1,0.5,5,0.1,0.0,0,,0,
a0.1_k0.5_none_p5_th0.28,0.1,0.5,5,0.28,0.0,400,0.0,400,0.0
a0.1_k0.5_none_p5_th0.4,0.1,0.5,5,0.4,0.0,400,0.0,400,0.0
a0.1_k0.5_none_p5_th0.55,0.1,0.5,5,0.55,0.0,400,0.0,400,0.0
a0.1_k0.5_none_p5_th0.72,0.1,0.5,5,0.72,0.0,400,0.0,400,0.0
a0.1_k0.5_none_p5_th0.88,0.1,0.5,5,0.88,0.0,400,0.0,400,0.0
a0.1_k2.0_none_p1_th0.05,0.1,2.0,1,0.05,0.955,0,,0,
a0.1_k2.0_none_p1_th0.18,0.1,2.0,1,0.18,0.955,0,,0,
a0.1_k2.0_none_p1_th0.1,0.1,2.0,1,0.1,0.955,0,,0,
a0.1_k2.0_none_p1_th0.28,0.1,2.0,1,0.28,0.955,0,,0,
a0.1_k2.0_none_p1_th0.4,0.1,2.0,1,0.4,0.955,0,,27,
a0.1_k2.0_none_p1_th0.55,0.1,2.0,1,0.55,0.955,400,0.955,400,0.955
a0.1_k2.0_none_p1_th0.72,0.1,2.0,1,0.72,0.955,400,0.955,400,0.955
a0.1_k2.0_none_p1_th0.88,0.1,2.0,1,0.88,0.955,400,0.955,400,0.955
a0.1_k2.0_none_p5_th0.05,0.1,2.0,5,0.05,0.0,0,,0,
a0.1_k2.0_none_p5_th0.18,0.1,2.0,5,0.18,0.0,400,0.0,400,0.0
a0.1_k2.0_none_p5_th0.1,0.1,2.0,5,0.1,0.0,0,,0,
a0.1_k2.0_none_p5_th0.28,0.1,2.0,5,0.28,0.0,400,0.0,400,0.0
a0.1_k2.0_none_p5_th0.4,0.1,2.0,5,0.4,0.0,400,0.0,400,0.0
a0.1_k2.0_none_p5_th0.55,0.1,2.0,5,0.55,0.0,400,0.0,400,0.0
a0.1_k2.0_none_p5_th0.72,0.1,2.0,5,0.72,0.0,400,0.0,400,0.0
a0.1_k2.0_none_p5_th0.88,0.1,2.0,5,0.88,0.0,400,0.0,400,0.0
a0.3_k0.5_none_p1_th0.05,0.3,0.5,1,0.05,0.94,0,,0,
a0.3_k0.5_none_p1_th0.18,0.3,0.5,1,0.18,0.94,0,,0,
a0.3_k0.5_none_p1_th0.1,0.3,0.5,1,0.1,0.94,0,,0,
a0.3_k0.5_none_p1_th0.28,0.3,0.5,1,0.28,0.94,0,,0,
a0.3_k0.5_none_p1_th0.4,0.3,0.5,1,0.4,0.94,0,,0,
a0.3_k0.5_none_p1_th0.55,0.3,0.5,1,0.55,0.94,0,,0,
a0.3_k0.5_none_p1_th0.72,0.3,0.5,1,0.72,0.94,128,0.921875,330,0.9424242424242424
a0.3_k0.5_none_p1_th0.88,0.3,0.5,1,0.88,0.94,400,0.94,400,0.94
a0.3_k0.5_none_p5_th0.05,0.3,0.5,5,0.05,0.0,0,,0,
a0.3_k0.5_none_p5_th0.18,0.3,0.5,5,0.18,0.0,0,,0,
a0.3_k0.5_none_p5_th0.1,0.3,0.5,5,0.1,0.0,0,,0,
a0.3_k0.5_none_p5_th0.28,0.3,0.5,5,0.28,0.0,0,,0,
a0.3_k0.5_none_p5_th0.4,0.3,0.5,5,0.4,0.0,400,0.0,400,0.0
a0.3_k0.5_none_p5_th0.55,0.3,0.5,5,0.55,0.0,400,0.0,400,0.0
a0.3_k0.5_none_p5_th0.72,0.3,0.5,5,0.72,0.0,400,0.0,400,0.0
a0.3_k0.5_none_p5_th0.88,0.3,0.5,5,0.88,0.0,400,0.0,400,0.0
