cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.9_k0.5_none_p5,2000,5,1799,0.9,0.5,none,0.1,0.4472135954999579,tsls,0.412734575034787,0.4122459558669203,0.4122459558669203,0.02007738281040154,,400,20260823
a0.9_k0.5_none_p5,2000,5,1799,0.9,0.5,none,0.1,0.4472135954999579,liml,0.41480368529829476,0.41436028607978864,0.41436028607978864,0.019174218547895455,,400,20260823
a0.9_k0.5_none_p5,2000,5,1799,0.9,0.5,none,0.1,0.4472135954999579,fuller,0.41481407545829335,0.41437068191781795,0.41437068191781795,0.019174336110573103,,400,20260823
a0.9_k0.5_none_p5,2000,5,1799,0.9,0.5,none,0.1,0.4472135954999579,bekker,4.828596090177407,1.5975581568776926,0.17070001307237326,4.825577862558394,,400,20260823
a0.9_k0.5_none_p5,2000,5,1799,0.9,0.5,none,0.1,0.4472135954999579,jive,0.4127991850208125,0.4123083830264973,0.4123083830264973,0.020123728280866202,,400,20260823
a0.9_k0.5_none_p5,2000,5,1799,0.9,0.5,none,0.1,0.4472135954999579,whiten,0.41273457503478694,0.41224595586692026,0.41224595586692026,0.02007738281040154,0.05,400,20260823
a0.9_k0.5_none_p5,2000,5,1799,0.9,0.5,none,0.1,0.4472135954999579,pca_l,0.4106124450207981,0.3748907718324399,-0.3408141243430674,0.2290159659373689,0.0005558643690939411,400,20260823
a0.9_k0.5_none_p5,2000,5,1799,0.9,0.5,none,0.1,0.4472135954999579,trunc_k1,0.35198118838299386,0.3417481788923762,-0.3417481788923762,0.08425520280225465,0.2,400,20260823
a0.9_k0.5_none_p5,2000,5,1799,0.9,0.5,none,0.1,0.4472135954999579,trunc_k2,0.2459362740150258,0.2159963025631294,-0.15142940019294207,0.19378799661898477,0.4,400,20260823
a0.9_k0.5_none_p5,2000,5,1799,0.9,0.5,none,0.1,0.4472135954999579,trunc_k5,0.41273457503478694,0.4122459558669203,0.4122459558669203,0.020077382810400154,1.0,400,20260823
