cell_id,n,p,q,alpha,kappa,theta,rho_true,het,estimator,rmse,mae,bias,sd,tau_used,B,seed
a0.1_k0.5_none_p1,1000,1,100,0.1,0.5,none,F>10,,0,400,20260823
a0.1_k0.5_none_p1,1000,1,100,0.1,0.5,none,KP_rk>10,0.96,400,400,20260823
a0.1_k0.5_none_p1,1000,1,100,0.1,0.5,none,spectral_env,,0,400,20260823
a0.1_k0.5_none_p1,1000,1,100,0.1,0.5,none,0.05,0.4472135954999579,tsls,0.2982267786569481,0.28803761516307846,0.28803761516307846,0.07728870395644256,,400,20260823
a0.1_k0.5_none_p1,1000,1,100,0.1,0.5,none,0.05,0.4472135954999579,liml,0.36859858337234036,0.36641955009786187,0.36641955009786187,0.04002035694714163,,400,20260823
a0.1_k0.5_none_p1,1000,1,100,0.1,0.5,none,0.05,0.4472135954999579,fuller,0.36885882743433557,0.36669159919848504,0.36669159919848504,0.03992625268530158,,400,20260823
a0.1_k0.5_none_p1,1000,1,100,0.1,0.5,none,0.05,0.4472135954999579,bekker,0.4846690172413941,0.2761903258774217,-0.08981933662064169,0.4762736010349163,,400,20260823
a0.1_k0.5_none_p1,1000,1,100,0.1,0.5,none,0.05,0.4472135954999579,jive,0.2982175405800185,0.28800709001636976,0.28800709001636976,0.07736677329382206,,400,20260823
a0.1_k0.5_none_p1,1000,1,100,0.1,0.5,none,0.05,0.4472135954999579,whiten,0.29822677865694813,0.2880376151630785,0.2880376151630785,0.07728870395644247,0.05,400,20260823
a0.1_k0.5_none_p1,1000,1,100,0.1,0.5,none,0.05,0.4472135954999579,pca_l,113.71662059608178,9.78910479079811,-6.76031434215542,113.51549651826599,0.01,400,20260823
a0.1_k0.5_none_p1,1000,1,100,0.1,0.5,none,0.05,0.4472135954999579,trunc_k1,0.29822677865694813,0.28803761516307846,0.28803761516307846,0.07728870395644274,1.0,400,20260823
a0.1_k0.5_none_p5,2000,5,200,0.1,0.5,none,F>10,,0,400,20260823
a0.1_k0.5_none_p5,2000,5,200,0.1,0.5,none,KP_rk>10,0.0,400,400,20260823
a0.1_k0.5_none_p5,2000,5,200,0.1,0.5,none,spectral_env,,0,400,20260823
a0.1_k0.5_none_p5,2000,5,200,0.1,0.5,none,0.05,0.4472135954999579,tsls,0.3881540648091072,0.38393330473103354,0.38393330473103354,0.05708586117542522,,400,20260823
