experiment,cell_id,n,p,q,alpha,theta,rho,power_exact,power_tw,outlier_r2_median,outlier_r2_q25,outlier_r2_q75,g_pred,B,seed,power_f10,loc_err_sigma
phase3_power_surface,n250_a0.1_p1,250,1,25,0.1,0.01,0.0,0.11666666666666667,0.10666666666666667,0.1062069489827921,0.09096460009837329,0.12664808203875277,0.10900000000000001,300,20260823,0.0,0.1501285362134448
phase3_power_surface,n250_a0.1_p1,250,1,25,0.1,0.02,0.0,0.2,0.17333333333333334,0.1151438231140261,0.09462010418971128,0.1420449931880901,0.11800000000000001,300,20260823,0.0,0.14314822415807882
phase3_power_surface,n250_a0.1_p1,250,1,25,0.1,0.04,0.0,0.33,0.31666666666666665,0.1364248114557502,0.11303789786024604,0.15745407191071492,0.136,300,20260823,0.0,0.01863458160956749
phase3_power_surface,n250_a0.1_p1,250,1,25,0.1,0.07,0.0,0.6666666666666666,0.6466666666666666,0.16367698827554805,0.13560760664794008,0.18590979153336465,0.16300000000000003,300,20260823,0.0,0.025567607061537156
phase3_power_surface,n250_a0.1_p1,250,1,25,0.1,0.1,0.0,0.85,0.8466666666666667,0.18941282298778472,0.16362913227140358,0.21470680691942404,0.19,300,20260823,0.0,0.019714767732702754
phase3_power_surface,n250_a0.1_p1,250,1,25,0.1,0.15,0.0,0.9833333333333333,0.9766666666666667,0.23522015203221797,0.19986433586317937,0.26630960457135355,0.23500000000000001,300,20260823,0.0,0.006318286122389161
phase3_power_surface,n250_a0.1_p1,250,1,25,0.1,0.22,0.0,1.0,1.0,0.2976122083040039,0.2616260063213035,0.3300663447344441,0.29800000000000004,300,20260823,0.0,0.00957094131572589
phase3_power_surface,n250_a0.1_p1,250,1,25,0.1,0.32,0.0,1.0,1.0,0.37760411319809706,0.3477588863537654,0.41281207989255764,0.388,300,20260823,0.0,0.2271067082385585
phase3_power_surface,n250_a0.1_p1,250,1,25,0.1,0.45,0.0,1.0,1.0,0.50314980450753,0.4758632554913693,0.5323819345695905,0.505,300,20260823,0.2966666666666667,0.03819914999863627
phase3_power_surface,n250_a0.1_p1,250,1,25,0.1,0.62,0.0,1.0,1.0,0.6573245091373836,0.6288518335187667,0.6836630672059584,0.658,300,20260823,1.0,0.015484907960601646
